u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,speed_kph,travel_time,bridge,width,junction,ref,access
330636782,2946094145,0,"[389248656, 389248641, 1018661915]",True,2,Transversal 34C Sur,residential,,False,34.194,"LINESTRING (-75.5803502 6.1719422, -75.5803146 6.1719557, -75.5802551 6.1719765, -75.5801478 6.172013, -75.5801037 6.1720282, -75.580093 6.1720323, -75.5800583 6.1720438)",35.0,3.5,yes,,,,
330636782,9259246569,0,1003373100,True,2,Calle 25 Sur,secondary,,False,79.941,"LINESTRING (-75.5803502 6.1719422, -75.5803498 6.1719093, -75.5804166 6.1712265)",50.0,5.8,,,,,
330636786,330636787,0,1074612061,True,2,Calle 25 Sur,secondary,,False,64.343,"LINESTRING (-75.5808795 6.169846, -75.5808739 6.1698195, -75.580758 6.1692801)",50.0,4.6,,,,,
330636787,1378851426,0,1074612061,True,2,Calle 25 Sur,secondary,,False,52.211,"LINESTRING (-75.580758 6.1692801, -75.5806517 6.1688226)",50.0,3.8,,,,,
330636787,1378851452,0,123730018,True,,Transversal 35C Sur,residential,,False,129.42900000000003,"LINESTRING (-75.580758 6.1692801, -75.5808129 6.1692756, -75.5809777 6.1692622, -75.5810944 6.1692543, -75.5812124 6.1692291, -75.5813305 6.1691837, -75.5818651 6.168945)",35.0,13.3,,,,,
330636789,330631201,0,578171235,True,2,Carrera 32,secondary,,False,89.21199999999999,"LINESTRING (-75.5811782 6.1665807, -75.5812095 6.1665332, -75.5815635 6.165995, -75.5815922 6.1659441, -75.5816135 6.1659054)",50.0,6.4,,,,,
330636789,1378816113,0,1018619343,True,3,Calle 37 Sur,secondary,,False,67.66,"LINESTRING (-75.5811782 6.1665807, -75.5812606 6.1666336, -75.5816875 6.1669181)",50.0,4.9,,,,,
330642287,569680248,0,44923413,True,,Diagonal 39,residential,,False,44.806,"LINESTRING (-75.5845051 6.1722876, -75.584354 6.1719137)",35.0,4.6,,,,,
330642287,330647593,0,1018841102,True,,Transversal 34 Sur,residential,,False,80.431,"LINESTRING (-75.5845051 6.1722876, -75.585175 6.1720054)",35.0,8.3,,,,,
330642288,9375469085,0,30028915,True,,Transversal 34 Sur,residential,,False,84.712,"LINESTRING (-75.5810148 6.1737261, -75.5810644 6.1737061, -75.5817245 6.1734388)",35.0,8.7,,,,,
330642288,330642825,0,1003373100,True,2,Calle 25 Sur,secondary,,False,50.465,"LINESTRING (-75.5810148 6.1737261, -75.5810006 6.173686, -75.5808432 6.1733056)",50.0,3.6,,,,,
330642391,330642580,0,152889946,True,2,Carrera 43,tertiary,60,False,55.599999999999994,"LINESTRING (-75.5855418 6.1734969, -75.5855309 6.1737135, -75.5855138 6.1738453, -75.5854789 6.1739915)",60.0,3.3,,,,,
330642391,1656651159,0,1018863695,True,2,Transversal 33 Sur,residential,60,False,21.793,"LINESTRING (-75.5855418 6.1734969, -75.5856418 6.173506, -75.5857379 6.1735168)",60.0,1.3,,,,,
330642580,569680254,0,30028633,True,,Transversal 32C Sur,residential,,False,30.447,"LINESTRING (-75.5854789 6.1739915, -75.58522 6.1740849)",35.0,3.1,,,,,
330642580,330644600,0,152889946,True,2,Carrera 43,tertiary,60,False,86.505,"LINESTRING (-75.5854789 6.1739915, -75.5852529 6.1747363)",60.0,5.2,,,,,
330642825,330642883,0,1003373100,True,2,Calle 25 Sur,secondary,,False,54.292,"LINESTRING (-75.5808432 6.1733056, -75.580663 6.1728514)",50.0,3.9,,,,,
330642881,330647482,0,30028927,False,,Transversal 34B Sur,residential,,False,75.586,"LINESTRING (-75.5841805 6.1714525, -75.5848185 6.1712081)",35.0,7.8,,,,,
330642881,569680245,0,30028927,False,,Transversal 34B Sur,residential,,True,76.8,"LINESTRING (-75.5841805 6.1714525, -75.5835346 6.1717068)",35.0,7.9,,,,,
