u,v,geometry,speed_mps,weigth
330642881,569680236,"LINESTRING (-75.5841805 6.1714525, -75.584015 6.1710296)",4.4,13.781
330642883,330644125,"LINESTRING (-75.580663 6.1728514, -75.5804899 6.1724166)",6.9,9.173
330642883,569680262,"LINESTRING (-75.580663 6.1728514, -75.5807041 6.1728352, -75.581411 6.1725555)",8.3,20.083
330643732,5534298700,"LINESTRING (-75.5848359 6.1731008, -75.5841995 6.1733161)",2.5,36.26
330643732,569680247,"LINESTRING (-75.5848359 6.1731008, -75.5846761 6.1726969)",3.1,19.244
330644124,9397375449,"LINESTRING (-75.5846349 6.1707927, -75.5846799 6.1708831)",6.4,2.109
330644124,9397375445,"LINESTRING (-75.5846349 6.1707927, -75.5846714 6.1707284)",5.0,1.96
330644125,569680263,"LINESTRING (-75.5804899 6.1724166, -75.5805255 6.1724028, -75.5812415 6.1721244)",3.9,30.035
330644125,330636782,"LINESTRING (-75.5804899 6.1724166, -75.5803728 6.1721246, -75.580355 6.1720361, -75.5803502 6.1719422)",4.4,16.159
330644597,330642391,"LINESTRING (-75.5855413 6.1727599, -75.5855413 6.1728503, -75.5855414 6.1731655, -75.5855442 6.1733835, -75.585542 6.1734645, -75.5855418 6.1734969)",4.3,25.245
330644600,5534298701,"LINESTRING (-75.5852529 6.1747363, -75.5851493 6.1747373, -75.5850291 6.1747591, -75.5847384 6.1748509)",3.9,18.585
330644600,3270824321,"LINESTRING (-75.5852529 6.1747363, -75.5851972 6.1750356, -75.5851856 6.1753198)",3.6,22.389
330644603,5927555377,"LINESTRING (-75.5852779 6.1765137, -75.5853096 6.1766142)",3.3,4.41
330644603,9395455240,"LINESTRING (-75.5852779 6.1765137, -75.5853433 6.1765051)",3.9,2.205
330645151,1656651165,"LINESTRING (-75.5852458 6.1752995, -75.5852522 6.1750463, -75.5853235 6.1747554)",2.5,30.38
330645156,330634176,"LINESTRING (-75.5875208 6.1706279, -75.5881816 6.1710716, -75.5882477 6.171116)",3.9,31.555
330646990,327431102,"LINESTRING (-75.5861291 6.1728839, -75.5861539 6.1729239, -75.5861842 6.1729586, -75.5862262 6.1729902, -75.5867343 6.1732953, -75.5867635 6.1733128)",4.7,24.309
330646990,340690124,"LINESTRING (-75.5861291 6.1728839, -75.5864193 6.1724354, -75.5864914 6.172313, -75.5866946 6.1719765)",6.566666666666666,22.322
330647482,330642881,"LINESTRING (-75.5848185 6.1712081, -75.5841805 6.1714525)",5.0,18.62
330647482,330647483,"LINESTRING (-75.5848185 6.1712081, -75.5850108 6.1716573)",5.6,11.907
330647483,569680248,"LINESTRING (-75.5850108 6.1716573, -75.584354 6.1719137)",5.3,18.104
330647483,330647593,"LINESTRING (-75.5850108 6.1716573, -75.585175 6.1720054)",5.8,9.03
330647593,330648673,"LINESTRING (-75.585175 6.1720054, -75.5853144 6.1723064)",6.7,6.799
330648332,330644597,"LINESTRING (-75.5855885 6.1724773, -75.5855639 6.1725353, -75.5855538 6.1725896, -75.5855471 6.1726429, -75.5855413 6.1727599)",6.1,6.415
330648332,330646990,"LINESTRING (-75.5855885 6.1724773, -75.5860559 6.172779, -75.5860882 6.1728112, -75.5861111 6.1728439, -75.5861291 6.1728839)",5.0,25.1
330648673,330648332,"LINESTRING (-75.5853144 6.1723064, -75.5855439 6.1724496, -75.5855885 6.1724773)",5.3,10.356
330648673,569680246,"LINESTRING (-75.5853144 6.1723064, -75.5853308 6.1723322, -75.5853914 6.1724585)",4.4,5.237
330648889,1825621048,"LINESTRING (-75.5884574 6.1743363, -75.5887083 6.1739519)",3.3,18.743
330648889,330648893,"LINESTRING (-75.5884574 6.1743363, -75.5885066 6.1744113, -75.5885349 6.1744859, -75.5885632 6.174598, -75.5885781 6.1747063, -75.5885741 6.1748023, -75.588551 6.1749459, -75.5885088 6.1750499, -75.5884628 6.1751446, -75.5884185 6.1752278, -75.5883627 6.1753331, -75.5883123 6.1754486)",5.8,29.055
330648893,330648889,"LINESTRING (-75.5883123 6.1754486, -75.5883627 6.1753331, -75.5884185 6.1752278, -75.5884628 6.1751446, -75.5885088 6.1750499, -75.588551 6.1749459, -75.5885741 6.1748023, -75.5885781 6.1747063, -75.5885632 6.174598, -75.5885349 6.1744859, -75.5885066 6.1744113, -75.5884574 6.1743363)",5.8,29.055
330648893,340691002,"LINESTRING (-75.5883123 6.1754486, -75.5882698 6.1755365, -75.5882372 6.1756167, -75.588215 6.175732, -75.5882104 6.1758557)",7.5,8.965
330648893,3270683204,"LINESTRING (-75.5883123 6.1754486, -75.5884088 6.1753727, -75.5884966 6.1752939)",4.2,7.938
330648895,1430555110,"LINESTRING (-75.588441 6.1767271, -75.5885555 6.1768319)",7.5,2.777
330648895,340691002,"LINESTRING (-75.588441 6.1767271, -75.5883958 6.1766493, -75.5883582 6.1765396, -75.5882392 6.1760615, -75.5882227 6.175969, -75.5882104 6.1758557)",9.2,13.497
330648895,1430593908,"LINESTRING (-75.588441 6.1767271, -75.5883569 6.1767671, -75.5882724 6.176828, -75.5881755 6.1769341, -75.5878758 6.1773941)",6.7,18.191
330648896,1430593917,"LINESTRING (-75.5895765 6.1775492, -75.5888814 6.1785366)",10.6,15.551
330648896,1430586232,"LINESTRING (-75.5895765 6.1775492, -75.5895129 6.1775046, -75.589232 6.1773077, -75.5888622 6.1770485)",4.7,27.689
330649093,6822287683,"LINESTRING (-75.5852144 6.1809908, -75.5851383 6.1812145, -75.5851261 6.1812636, -75.5851269 6.181313, -75.5851468 6.1813646, -75.5852448 6.1814912)",4.2,17.934
330649093,1673517664,"LINESTRING (-75.5852144 6.1809908, -75.5847263 6.1810025, -75.5843108 6.180985, -75.5833424 6.1808867, -75.5832179 6.1808718, -75.5831377 6.1808622, -75.5830299 6.1808306, -75.5829596 6.1808, -75.5829354 6.1807874, -75.5829074 6.1807729)",3.7333333333333334,78.97
330649093,569133128,"LINESTRING (-75.5852144 6.1809908, -75.5852391 6.1808574, -75.5852266 6.1807074, -75.5852024 6.1806118, -75.584788 6.1796985)",4.2,45.276
330762602,330762611,"LINESTRING (-75.60185 6.1637179, -75.6017875 6.1636862, -75.6009981 6.1632857, -75.5998436 6.1629066, -75.5996744 6.1628563)",9.7,36.215
330762602,5524117835,"LINESTRING (-75.60185 6.1637179, -75.6016775 6.1638931, -75.6002903 6.1653013, -75.6001613 6.1654322, -75.5995299 6.1660731)",10.725,43.153
330762609,3501089943,"LINESTRING (-75.5975863 6.1621588, -75.5976939 6.1622422)",4.2,4.32
330762609,4404725421,"LINESTRING (-75.5975863 6.1621588, -75.5975391 6.1621362, -75.5974433 6.1620903)",4.2,7.184
330762609,4404725424,"LINESTRING (-75.5975863 6.1621588, -75.5975342 6.1621899, -75.5974528 6.1622416)",5.3,4.093
330762611,330762634,"LINESTRING (-75.5996744 6.1628563, -75.5985314 6.16329)",2.8,58.32
330762611,4404289842,"LINESTRING (-75.5996744 6.1628563, -75.5987792 6.1625787, -75.5983599 6.1624542, -75.5982755 6.1624292, -75.5979382 6.162324)",9.2,28.313
330762611,330762602,"LINESTRING (-75.5996744 6.1628563, -75.5998436 6.1629066, -75.6009981 6.1632857, -75.6017875 6.1636862, -75.60185 6.1637179)",9.4,37.162
330762611,330762636,"LINESTRING (-75.5996744 6.1628563, -75.5997559 6.1628148, -75.6000826 6.1626487, -75.6006365 6.1623525, -75.6007664 6.1622858, -75.6010226 6.1620846)",6.7,33.14
330762634,330762611,"LINESTRING (-75.5985314 6.16329, -75.5996744 6.1628563)",2.8,58.32
330762636,330762611,"LINESTRING (-75.6010226 6.1620846, -75.6007664 6.1622858, -75.6006365 6.1623525, -75.6000826 6.1626487, -75.5997559 6.1628148, -75.5996744 6.1628563)",6.7,33.14
330762636,1819429753,"LINESTRING (-75.6010226 6.1620846, -75.6011416 6.1622188, -75.6023986 6.1630582, -75.6024594 6.1630993)",4.4,54.65
330762636,3501089913,"LINESTRING (-75.6010226 6.1620846, -75.6002175 6.1610235, -75.6001709 6.160961, -75.6001273 6.1609028)",8.1,26.067
330762677,5919405593,"LINESTRING (-75.5891287 6.1697234, -75.5892143 6.1697691)",4.4,3.032
330762677,330631935,"LINESTRING (-75.5891287 6.1697234, -75.5890724 6.1698082, -75.5887011 6.1703731, -75.5886693 6.1704216)",3.2999999999999994,34.177
330762679,9389580588,"LINESTRING (-75.5814816 6.1639679, -75.5813737 6.1639103)",6.4,2.63
330762679,3924033261,"LINESTRING (-75.5814816 6.1639679, -75.5814915 6.1639297)",3.6,1.329
330762724,330762727,"LINESTRING (-75.5904146 6.1705058, -75.5907186 6.1706924, -75.5908542 6.1707756, -75.5916069 6.1713504)",6.400000000000001,32.753
330762727,1192169181,"LINESTRING (-75.5916069 6.1713504, -75.5913901 6.1718258, -75.5913696 6.1718672)",4.2,20.522
330762727,1419125243,"LINESTRING (-75.5916069 6.1713504, -75.591633 6.1713201, -75.5918378 6.1710863)",5.3,10.052
330762727,5497056847,"LINESTRING (-75.5916069 6.1713504, -75.5916405 6.1713727, -75.5926885 6.1720675)",5.6,33.032
